{143,	2255,	2400,	454,	10093,},
{144,	2270,	2405,	456,	10125,},
{145,	2275,	2414,	459,	10173,},
{146,	2289,	2424,	454,	10221,},
{147,	2300,	2433,	454,	10270,},
{148,	2310,	2444,	457,	10318,},
{149,	2323,	2454,	458,	10383,},
{150,	2333,	2462,	460,	10415,},
{151,	2346,	2473,	464,	10495,},
{152,	2354,	2480,	466,	10528,},
{153,	2368,	2492,	468,	10592,},
{154,	2379,	2499,	468,	10640,},
{155,	2387,	2508,	472,	10689,},
{156,	2397,	2514,	469,	10721,},
{157,	2405,	2525,	472,	10769,},
{158,	2418,	2533,	473,	10818,},
{159,	2429,	2542,	471,	10866,},
{160,	2445,	2552,	473,	10930,},
{161,	2452,	2559,	475,	10963,},
{162,	2462,	2570,	478,	11027,},
{163,	2475,	2578,	480,	11092,},
{164,	2484,	2585,	480,	11124,},
{165,	2495,	2593,	477,	11172,},
{166,	2504,	2602,	482,	11220,},
{167,	2518,	2611,	480,	11269,},
{168,	2526,	2617,	480,	11317,},
{169,	2541,	2628,	484,	11382,},
{170,	2552,	2636,	485,	11446,},
{171,	2560,	2644,	484,	11478,},
{172,	2571,	2652,	484,	11527,},
{173,	2582,	2661,	485,	11591,},
{174,	2594,	2666,	483,	11623,},
{175,	2605,	2673,	487,	11672,},
{176,	2615,	2682,	489,	11736,},
{177,	2629,	2692,	489,	11801,},
{178,	2640,	2699,	489,	11849,},
{179,	2655,	2709,	487,	11913,},
{180,	2666,	2718,	492,	11962,},
{181,	2679,	2726,	493,	12010,},
{182,	2689,	2734,	493,	12075,},
{183,	2703,	2744,	494,	12139,},
{184,	2716,	2750,	497,	12187,},
{185,	2727,	2758,	497,	12252,},
{186,	2740,	2765,	497,	12300,},
{187,	2755,	2775,	494,	12381,},
{188,	2766,	2781,	498,	12429,},
{189,	2781,	2790,	500,	12493,},
{190,	2792,	2796,	497,	12542,},
{191,	2805,	2802,	501,	12606,},
{192,	2816,	2812,	500,	12671,},
{193,	2831,	2819,	500,	12719,},
{194,	2848,	2827,	503,	12800,},
{195,	2864,	2835,	498,	12880,},
{196,	2879,	2845,	514,	12945,},
{197,	2887,	2848,	505,	12977,},
{198,	2890,	2857,	509,	13057,},
{199,	2895,	2865,	505,	13138,},
{200,	2916,	2877,	505,	13251,}
